# image-id: battle-overlay
# annotated_functions/total_functions: 205/822
# Total basis: Ghidra functions plus the recovered callback at 0x800BAC50.
# sha256: 1830b4ef1fe37129972fc310dfad534f8161d6c0b123e74254c3711334a3e291
# load-address: 0x8006faf0
# identity-source: native_renderer/xg_render_manifest.toml
# source-record-id: battle-image
# format: address, note

0x80070E2C, function start — BattleEventOverlayLoad; conditionally loads and enters the separate Battle Event overlay.
0x80070EB0, function start — BattleEventOverlayUpdate; conditionally invokes the separate Battle Event update entry.
0x80070EDC, function start — BattleEventOverlayShutdown; conditionally closes the separate overlay and restores Battle music.
0x80070F40, function start — BattleMain; loads, runs, renders, and shuts down the central Battle mode.
0x800711A0, call site — Battle startup creates its initial fullscreen fader.
0x800711A8, return site — resumes after initial Battle fader creation.
0x800711C8, call site — conditional Battle startup path creates a transition fader.
0x800711D0, return site — resumes after conditional startup fader creation.
0x80071680, call site — Battle shutdown creates its transition fader.
0x80071688, call site — resumes from fader creation and invokes BattleEventOverlayShutdown.
0x80071690, call site — invokes the separate Battle Event finalization entry.
0x80071698, return site — resumes central Battle shutdown after Battle Event finalization.
0x800716D8, function start — BattleRenderDebugAndMain; executes one Battle update and render iteration.
0x8007171C, function start — BattleTimeProgress; advances readiness timers and timed statuses for all entities.
0x800718BC, function start — BattleUpdateTicksEndOfTurn; resets readiness and reloads the acting entity's turn timer.
0x80071B94, function start — BattleTickMain; executes one complete combatant turn and its cleanup.
0x80072270, function start — BattleApplyDeferredReadyEffects; applies deferred readiness and timer effects.
0x800723E0, function start — BattleTickGameplay; selects the next ready combatant and enters turn handling.
0x8007252C, function start — BattleCheckWinConditions; rebuilds the living mask and sets victory or defeat.
0x80072F38, function start — BattleFormatHpDisplayValues; computes HP digits, blanks, and warning colors.
0x80073538, function start — BattleUpdatePortraitsAndTimeBars; rebuilds portraits and active or transitioning time bars.
0x80073A58, function start — BattleDrawActivePortraitSelection; draws the highlighted portrait selection.
0x80073B64, function start — BattleStageActionLines; authenticates and stages captured Battle UI line packets.
0x80073E80, return site — returns from the authenticated Battle UI line stage.
0x80073E88, function start — BattleDrawCommandRing; draws enabled command-ring primitive groups.
0x80073FB8, function start — BattleDrawApBarsAndDialogWindows; draws AP bars and active dialog-window packets.
0x80074AB8, function start — BattleDrawOverallUi; draws enabled overall Battle UI and result groups.
0x80074D4C, function start — BattleDrawTargetSelectionCursor; pulses and draws directional target cursors.
0x80074EEC, function start — BattleDrawDeathblowFlashPolys; draws three deathblow flash primitive arrays.
0x80074F70, function start — BattleDrawDialogPortraitAndText; draws the active portrait and dialog text.
0x8007500C, function start — BattleDrawMonsterNames; positions and submits active monster-name strips.
0x80075938, function start — BattleUpdateStatusGaugePolys; updates party HP, AP, and fuel gauge geometry.
0x80076418, function start — BattleRenderFrameAndUi; dispatches per-frame Battle rendering and UI stages.
0x80076454, call site — per-frame Battle rendering invokes BattleStageActionLines.
0x8007645C, return site — resumes after staging Battle UI lines.
0x800764B4, function start — BattleDrawMode0Ui; renders the Battle result-mode composition.
0x800764EC, function start — BattleDrawMode2Ui; renders the Battle cutscene-mode composition.
0x80076544, function start — BattleDrawFromModes; dispatches result, gameplay, or cutscene rendering.
0x80077364, function start — BattleSetupDialogWindowTexturePolys; initializes textured dialog-border polygons.
0x80077454, function start — BattleSetupDialogWindow; initializes dialog background, draw modes, and borders.
0x8007819C, function start — BattleSetupMonsterNameUi; initializes monster-name windows and VRAM slots.
0x800793F0, function start — BattleExecuteScriptedActions; converts enemy-script actions into Battle operations.
0x80079778, function start — BattleMonsterJumpToTarget; runs a staged enemy attack and waits for completion.
0x80079840, function start — BattleUpdateMonsterScriptAttackVars; records attack results in enemy script state.
0x80079934, function start — BattleAdvanceEnemyScript; advances an enemy script by one instruction.
0x80079948, function start — BattleSkipEnemyScriptConditionalBlock; skips chained false condition blocks.
0x800799C8, function start — BattleExecuteMonsterTurnScript; interprets an enemy's normal turn script.
0x80079AB0, function start — BattleExecuteMonsterAttackedScript; executes an enemy counter or attacked script.
0x80079C24, function start — BattleExecuteMonsterEndTurnScripts; runs eligible enemy end-of-turn scripts.
0x8007EF6C, function start — BattleExecuteMonsterScriptLowerOpcode; dispatches enemy action opcodes below 0x80.
0x8007F8C0, function start — BattleExecuteMonsterScriptCondition; evaluates chained enemy condition opcodes.
0x8007FBE0, function start — BattleCaptureActionLines; builds up to six horizontal Battle UI line packets.
0x8007FCE0, return site — returns from the authenticated Battle UI line capture.
0x8007FD38, function start — BattleLoadChiMenuData; lazily loads character or Gear chi-menu resources.
0x80080160, function start — BattleCommandSelectionLoop; runs Battle command selection and action processing.
0x800806E8, call site — Battle command selection invokes BattleCaptureActionLines.
0x800806F0, return site — resumes after Battle UI line capture.
0x800816F8, function start — BattleHandleCharacterCircleMenu; dispatches character Attack, Item, Defend, Gear, and Chi commands.
0x80081B58, function start — BattleHandleMenuSelectEnemy; handles target movement, confirmation, AP, and attack setup.
0x80083FF4, function start — BattleIsTargetValid; validates presence, life, row, reachability, and entity mode.
0x80084108, function start — BattleIsAbilityTargetCandidate; tests a slot against ability target restrictions.
0x80084548, function start — BattleBuildAbilityTargetList; builds ordered party, enemy, or combined targets.
0x80084750, function start — BattleBuildEnemyAbilityTargetList; builds targets for enemy-style abilities.
0x80084D28, function start — BattleGetAbilityTargetsInSelectedRow; filters targets to the selected row.
0x80084DE4, function start — BattleAbilityTargetSelectionInit; builds the valid ability-target mask and initial target.
0x80085084, function start — BattleAbilitySelectTarget; runs interactive ability target selection.
0x80085350, function start — BattleResetTurnDamageAccumulators; clears per-entity turn damage and status accumulators.
