# image-id: battle-event-overlay
# annotated_functions/total_functions: 105/105
# Total basis: whole-image AOT range manifest, including authenticated overlapping roots.
# sha256: 1cac23da143e6dfc8f1f4b52ed5754392ea853ee58d6e62d65fd7fbfa86932cc
# load-address: 0x801e5000
# identity-source: annotations/overlays/disc1-images.toml
# source-record-id: battle-event-image
# format: address, note

0x801E5160, function start — BattleEventInitialize; loads event data and initializes scripts, entities, dialogue, and sequence state.
0x801E563C, function start — BattleEventShutdown; frees event allocations, sequence state, and loaded music.
0x801E5768, function start — BattleEventGetBytecodeOffset; returns the highest active script slot's bytecode offset.
0x801E57C4, function start — BattleEventFindFreeScriptSlot; finds a free secondary script slot.
0x801E57F8, function start — BattleEventLoadArguments; decodes immediate and variable script arguments.
0x801E58EC, function start — BattleEventEvaluateCondition; dispatches comparison, bit-test, and boolean operators.
0x801E5A98, function start — BattleEventResolveEntityIndex; maps script character identifiers to battle entity slots.
0x801E5B00, function start — BattleEventSetupDialogCursor; builds and enables the animated dialogue cursor polygon.
0x801E5C1C, function start — BattleEventOpcode00EndScript; ends the active script and resets its primary slot.
0x801E5CE4, function start — BattleEventOpcode01Jump; performs an unconditional bytecode jump.
0x801E5D24, function start — BattleEventOpcode02JumpIf; evaluates a condition and performs a conditional jump.
0x801E5DCC, function start — BattleEventOpcode03StartScript; starts a target entity script in a free secondary slot.
0x801E5EF8, function start — BattleEventOpcode04WaitScriptDone; starts a tagged script and waits for entry completion.
0x801E5F8C, function start — BattleEventOpcode05WaitScript; starts a tagged script and waits until its slot disappears.
0x801E6084, function start — BattleEventOpcode06SetVariable; assigns a decoded value to a script variable.
0x801E60E8, function start — BattleEventOpcode07SetVariableTrue; sets a script variable to one.
0x801E6118, function start — BattleEventOpcode08SetVariableFalse; clears a script variable.
0x801E6144, function start — BattleEventOpcode09AddVariable; adds a decoded value to a script variable.
0x801E61B4, function start — BattleEventOpcode0ASubtractVariable; subtracts a decoded value from a script variable.
0x801E6224, function start — BattleEventOpcode0BOrVariable; applies bitwise OR to a script variable.
0x801E6294, function start — BattleEventOpcode0CClearVariableBits; clears selected bits in a script variable.
0x801E6304, function start — BattleEventOpcode0DIncrementVariable; increments a script variable.
0x801E633C, function start — BattleEventOpcode0EDecrementVariable; decrements a script variable.
0x801E6374, function start — BattleEventOpcode0FAndVariable; applies bitwise AND to a script variable.
0x801E63E4, function start — BattleEventOpcode10OrVariable; applies the second OR-variable operation.
0x801E6454, function start — BattleEventOpcode11XorVariable; applies bitwise XOR to a script variable.
0x801E64C4, function start — BattleEventOpcode12ShiftVariableLeft; left-shifts a script variable.
0x801E6534, function start — BattleEventOpcode13ShiftVariableRight; logically right-shifts a 16-bit variable.
0x801E65A4, function start — BattleEventOpcode14RandomVariable; stores a random 15-bit value.
0x801E65FC, function start — BattleEventOpcode15RandomRangeVariable; stores a random value below a scripted limit.
0x801E6660, function start — BattleEventOpcode16MultiplyVariable; multiplies decoded operands into a variable.
0x801E66D8, function start — BattleEventOpcode17DivideVariable; performs unsigned division into a variable.
0x801E6750, function start — BattleEventLoadDialogPortrait; loads and configures a normal or mirrored portrait texture.
0x801E6CE8, function start — BattleEventDisplayDialog; runs the battle dialogue window, text, cursor, input, and teardown state machine.
0x801E71D4, function start — BattleEventOpcode18ShowDialog; displays dialogue using the current entity portrait.
0x801E7230, function start — BattleEventOpcode19ShowDialogAlternate; displays dialogue with explicit portrait and flags.
0x801E7278, function start — BattleEventOpcode1ASetDialogParameters; configures dialogue geometry and flags.
0x801E7314, function start — BattleEventOpcode1BSetPortrait; sets an entity portrait and resolves party aliases.
0x801E7358, function start — BattleEventOpcode1CSetCameraMode2; selects battle camera mode two.
