# image-id: battle-loader-overlay
# annotated_functions/total_functions: 51/51
# Total basis: whole-image AOT range manifest excluding the leading callback table.
# sha256: 31a7c8828e87fc854da310925b91fd2221c19dc1a6987b800ca1a4d250632abf
# load-address: 0x801e4000
# identity-source: annotations/overlays/disc1-images.toml
# source-record-id: battle-loader-image
# format: address, note

0x801E4048, function start — BattleLoaderResetVisualEntityState; clears loader globals and initializes eleven visual-entity records from the selected party and character-versus-Gear state.
0x801E4160, function start — BattleLoaderConfigureEntityLayout; builds party and enemy slot mappings and resolves each active entity's initial arena position.
0x801E4870, function start — BattleLoaderLoadEnemyDefinitions; copies eight selected enemy definitions relocates their script pointers and clears enemy script variables.
0x801E4AC0, function start — BattleLoaderInitializePartyDisplayState; applies initial party status and selects AP fuel or hidden HUD displays from character and Gear state.
0x801E4CD0, function start — BattleLoaderBuildBattleInventory; clamps quantities removes empty entries and compacts usable character and Gear items into Battle inventory arrays.
0x801E4E7C, function start — BattleLoaderInitializeTurnOrder; randomizes entity indices applies immediate-readiness flags and normalizes initial readiness timers.
0x801E5014, function start — BattleLoaderInitializeCommandsAndTargets; installs party command layouts computes facing targets and enforces no-Gear and no-escape restrictions.
0x801E5384, function start — BattleLoaderLoadPartyResources; copies party and Gear statistics decompresses combat UI resources uploads portraits and queues encounter configuration files.
0x801E5840, function start — BattleLoaderRunInitializationPhase; dispatches the four staged Battle initialization phases from core resources through HUD creation.
0x801E5924, function start — BattleLoaderInitializeHudPrimitives; initializes textured gauges AP and fuel polygons font palettes and line primitives for the party HUD.
0x801E5D2C, function start — BattleLoaderInitializeOverlayPrimitives; creates paired semitransparent quads and draw-mode packets used by Battle UI overlays.
0x801E5E78, function start — BattleLoaderRenderItemTargetLabels; allocates ten small text textures and renders localized item-target labels into them.
0x801E5EE8, function start — BattleLoaderBuildPartyHudText; builds status labels name strips and HP and MP primitives for each occupied party member.
0x801E6290, function start — BattleLoaderInitializePartyHud; initializes both general HUD primitives and party-specific HUD text.
0x801E62B8, function start — BattleLoaderInitializeItemTargetUi; initializes overlay packets and pre-renders item-target label textures.
0x801E62E0, function start — BattleLoaderCreateSpriteLoadingTask; creates the asynchronous Battle sprite loader while guarding task creation with the resident flag.
0x801E6314, function start — BattleLoaderInstallEnemyVisualAssets; uploads enemy sprite sheets binds animation streams resolves shared visuals and initializes enemy Gear meshes.
0x801E6710, function start — BattleLoaderCreateEnemySpriteActors; creates normal sprite actors for occupied enemy slots with resolved sprite data.
0x801E67A4, function start — BattleLoaderCreateSpriteActor; allocates and configures a Battle sprite actor with entity position direction animation and visibility state.
0x801E693C, function start — BattleLoaderQueuePartySpriteFiles; builds and starts requests for non-Gear party character sprite packages.
