# image-id: battle-result-overlay
# annotated_functions/total_functions: 61/61
# Total basis: whole-image AOT range manifest.
# sha256: c0ae90d4db9f81edfe4b856ac234308614c12dd3a9dd7212be92cb4c5b9d14e8
# load-address: 0x801de000
# identity-source: annotations/overlays/disc1-images.toml
# source-record-id: battle-result-image
# format: address, note

0x801DE048, function start — BattleResultDrawPartySummary; submits party summary primitives for all three result slots.
0x801DE1C4, function start — BattleResultDrawProgressPanels; submits progression comparison and notification primitives.
0x801DE408, function start — BattleResultDrawRewardPanels; submits gold item and reward-window primitives.
0x801DE594, function start — BattleResultDraw; dispatches the enabled result-screen drawing passes.
0x801DE5C4, function start — BattleResultBuildPartyHeaders; builds character headers and enables the party summary panel.
0x801DE69C, function start — BattleResultBuildPartyLabels; builds the labels used by each party summary row.
0x801DEA18, function start — BattleResultBuildPartyValues; formats the principal values shown for each party member.
0x801DEDC0, function start — BattleResultBuildPartyLevels; formats party level values and associated summary primitives.
0x801DF270, function start — BattleResultBuildExperienceValues; formats cumulative Physical and Ether EXP values for each party member.
0x801DF4C0, function start — BattleResultBuildExperienceGains; builds earned-experience glyphs for each party member.
0x801DF710, function start — BattleResultInitializeProgressBarPair; initializes two color-coded gradient primitives used by one progression bar.
0x801DF840, function start — BattleResultColorProgressDeltaGlyphs; colors progression-delta glyph primitives according to increase or decrease direction.
0x801DF910, function start — BattleResultComputeProgressBarSegments; computes the old value absolute delta direction glyph and normalized before-and-delta bar widths.
0x801DFA38, function start — BattleResultFindProgressScaleMaximum; returns the maximum across seven saved and seven updated stat values for the selected party member.
0x801DFAA8, function start — BattleResultBuildProgressPanelLabels; builds the selected character heading and the progression panel stat labels and colors.
0x801DFD58, function start — BattleResultBuildPhysicalLevelValue; formats the saved Physical Level used as the before value in the progression comparison.
0x801DFE6C, function start — BattleResultBuildSingleProgressValue; formats a short standalone progression value.
0x801DFF50, function start — BattleResultBuildProgressDeltas; computes and formats signed differences between old and new values.
0x801E0184, function start — BattleResultBuildEtherLevelDelta; computes and formats the direction and absolute change from saved to updated Ether Level.
0x801E03B8, function start — BattleResultBuildLevelComparison; builds the saved Physical and Ether Level values and their updated deltas.
0x801E03FC, function start — BattleResultBuildComparisonBars; compares two value sets and builds scaled before-and-after bars.
0x801E09C0, function start — BattleResultSendSoundCommand; forwards a command to the resident sound-command service.
0x801E09F4, function start — BattleResultStartAudioSequence; issues the one-time sound commands used when results begin.
0x801E0A4C, function start — BattleResultBeginScreenTransition; starts result audio and waits for the screen transition state.
0x801E0ACC, function start — BattleResultShowAbilityNotices; displays newly unlocked abilities from character bitfields.
0x801E1044, function start — BattleResultBuildRewardHeader; builds the heading glyphs for the reward panel.
0x801E10F8, function start — BattleResultBuildGoldValues; formats earned and total currency values.
0x801E126C, function start — BattleResultBuildGoldLabels; builds the labels surrounding the currency values.
0x801E1370, function start — BattleResultAddInventoryItem; adds an item quantity while enforcing the inventory limit.
0x801E1444, function start — BattleResultApplyItemDrops; commits aggregated result drops to the appropriate inventories.
0x801E1590, function start — BattleResultAggregateItemDrops; merges duplicate encounter drops into a compact reward list.
0x801E1690, function start — BattleResultBuildItemDropList; builds item-name and quantity displays before applying the drops.
0x801E196C, function start — BattleResultBuildPartyScreen; constructs the party result screen in staged rendering passes.
0x801E1AA4, function start — BattleResultRefreshExperienceDisplay; snapshots experience fields and rebuilds their displays.
0x801E1C10, function start — BattleResultShowPartyProgression; presents detailed progression and unlock notices for eligible party members.
0x801E1E10, function start — BattleResultShowRewards; orchestrates the currency and item reward panel.
0x801E1FB8, function start — BattleResultRunSequence; allocates result UI data runs each result screen and releases it.
0x801E211C, function start — BattleResultLoadResources; loads and prepares the archive resources required by the result sequence.
0x801E2280, function start — BattleResultProcessRewards; totals encounter experience and currency applies rewards and runs the result UI.
0x801E24B0, function start — BattleResultReconcileBattleItemQuantities; matches compact Battle item IDs against persistent inventory and copies their remaining quantities.
0x801E252C, function start — BattleResultFinalize; processes post-battle results and releases Battle resources before returning to game flow.
0x801E2794, function start — BattleResultApplyPostBattleProgression; coordinates experience unlock drop and persistent-state updates.
0x801E2888, function start — BattleResultSyncPartyState; copies represented occupied party members and associated Gear state into persistent records and persists defeated or removed characters at one HP.
0x801E2ACC, function start — BattleResultDistributeExperience; distributes EXP across eligible active and benched roster members on both tracks and records active-party level changes.
0x801E2EB0, function start — BattleResultComputeExperienceGains; computes Physical and Ether EXP gains for one active or benched recipient under the applicable split and equipment modifiers.
0x801E308C, function start — BattleResultApplyLevelUps; advances both experience tracks and applies every resulting level increase.
0x801E335C, function start — BattleResultApplyPhysicalLevelStatGrowth; increases maximum HP Attack Defence Hit and Evade after a Physical Level gain.
0x801E3500, function start — BattleResultApplyEtherLevelStatGrowth; increases maximum MP Ether and Ether Defence after an Ether Level gain.
0x801E3610, function start — BattleResultRollStatGrowth; applies randomized bounded growth toward a stat level target.
0x801E3700, function start — BattleResultRollMaxHpGrowth; applies randomized level-based maximum-HP growth capped at 999.
0x801E38CC, function start — BattleResultRollMaxMpGrowth; applies randomized level-based maximum-MP growth capped at 99.
0x801E3A18, function start — BattleResultUpdateAbilityUnlocks; evaluates and propagates ability unlocks for active party members.
0x801E3BE0, function start — BattleResultUnlockPrimaryAbility; selects and unlocks an eligible primary ability from requirement tables.
0x801E3D54, function start — BattleResultUnlockSecondaryAbility; selects and unlocks an eligible secondary ability from requirement tables.
0x801E3E14, function start — BattleResultDerivePrimaryUnlocks; derives a dependent unlock bitfield from primary abilities.
0x801E3EA4, function start — BattleResultUpdateType8Unlocks; applies progression-gated unlocks for command-loadout type 8.
0x801E3F28, function start — BattleResultDeriveSecondaryUnlocks; derives a dependent unlock bitfield from secondary abilities.
0x801E3FB0, function start — BattleResultUpdateType7Stats; updates persistent derived stats for command-loadout type 7.
0x801E403C, function start — BattleResultUpdateApLevels; raises character action-point levels when thresholds are reached.
0x801E41B4, function start — BattleResultUnlockHighLevelAbilities; sets additional ability bits at levels 50 60 and 70.
0x801E42C4, function start — BattleResultRollEnemyDrops; rolls eligible enemy drop tables and records awarded items.
