# image-id: battling-overlay
# annotated_functions/total_functions: 461/461
# Total basis: whole-image AOT range manifest, including authenticated overlapping roots. One supplementary call site is documented but excluded from the denominator.
# sha256: 3e6df915e9c7f05f5fb997cb331392f1333e867dfb2628cd65e5e1ea1575646e
# load-address: 0x8006faf0
# identity-source: annotations/overlays/disc1-images.toml
# source-record-id: battling-image
# format: address, note

0x800707A8, function start — BattlingTutorialReleaseOrTransition; schedules tutorial storage release and mode transition.
0x800707D8, function start — BattlingCalculateRoundedInterpolationStep; Returns the signed ceiling of target minus current divided by the requested interpolation duration.
0x80070808, function start — BattlingInterpolateCameraTarget; Moves the camera target coordinates toward a destination while applying the active vertical framing offset.
0x800708C4, function start — BattlingInterpolateCameraEye; Moves the camera eye toward a destination and constrains its horizontal path to the arena boundary.
0x8007099C, function start — BattlingUpdateCameraMode; Selects fixed or fighter-relative camera destinations and interpolates the camera target and eye for the requested mode.
0x80070C7C, function start — BattlingRebaseArenaCoordinates; Recenters both fighters and the camera around their midpoint then applies the selected arena placement preset and clears transient effects.
0x80070F80, function start — BattlingBeginAttractScript; Selects a camera script and resets its delay state plus both fighters' script-controlled motion flags.
0x80070FD8, function start — BattlingStartRandomArenaReentryMotion; Chooses one of two randomized inward headings and starts maximum-speed recovery movement with its animation phase reset.
0x8007107C, function start — BattlingTutorialScriptRun; interprets tutorial movement, animation, wait, and exit bytecode.
0x80071724, function start — BattlingQueueScreenWindowPackets; Writes the interpolated window coordinates and queues both current screen-control packets into the ordering table.
0x80071794, function start — BattlingTutorialTextureLoad; uploads tutorial TIM resources and initializes packets.
0x800718C0, function start — BattlingTutorialDialogInitialize; initializes tutorial dialog and window state.
0x8007191C, function start — BattlingSelectAttractScriptAndResetFighters; Selects an attract sequence and restores both fighters to full health while resetting window interpolation and menu presentation.
0x800719F0, function start — BattlingInitializeAttractScreen; Initializes the attract-screen state and text window then starts its default camera sequence and fighter presentation.
0x80071AD0, function start — BattlingTutorialUpdate; handles tutorial input, scripts, dialogs, and actors.
0x80071DA4, function start — BattlingSnapFighterToWalkableTerrain; Searches nearby terrain cells until the fighter is supported then updates elevation and terrain classification.
0x80071F8C, function start — BattlingExecuteAttractStageCommand; Performs display synchronization or terrain snapping and can select a health-based panel or clamp camera height.
0x800720C4, function start — BattlingResetRubberBandClimax; Clears the one-shot activation latch for the rubber-band climax sequence.
0x800720D4, function start — BattlingStartRubberBandClimaxIfInactive; Starts the climax camera script once and resets fade state hit timers effect counters and presentation state.
0x80072170, function start — BattlingUpdateRubberBandClimax; Advances the climax camera script and fades while spawning effects and forcing the designated fighter to one health at the transition.
0x800725A8, function start — BattlingNoOpCallback0; intentional empty callback.
0x800725B0, function start — BattlingInitializeWinnerShowcase; Allocates winner-display resources and initializes its camera model transform lighting and match-stat parameters.
0x800726B4, function start — BattlingTeardownWinnerShowcase; Releases winner-display resources and restores graphics audio text and transition settings.
0x8007273C, function start — BattlingBuildWinnerModelViewTransform; Copies the supplied transform and replaces its translation with the winner model's root position relative to the arena origin.
0x80072858, function start — BattlingWinnerStatusViewUpdate; renders winner level, matches, and opponent status.
0x80072D18, function start — BattlingRenderVisibleTerrainStrips; Emits depth-sorted shaded terrain triangles for the visible spans recorded for each arena row.
0x80073064, function start — BattlingScaleVectorFixedPoint; Multiplies all three signed vector components by a 12-bit fixed-point scale.
0x800730AC, function start — BattlingScaleVector0; scales a packed vector through the GTE.
0x800730F4, function start — BattlingScaleVector12; scales a strided vector with 12-bit precision.
0x8007313C, function start — BattlingBoxFilterCapturedFrameRgb555; Replaces each RGB555 pixel with the average of itself and its right lower and lower-right neighbors through the requested image region.
0x800731F8, function start — BattlingScaleRotationMatrixAxes; Multiplies the three rotation-matrix axes by independent fixed-point scale components.
0x800732AC, function start — BattlingCopyAlignedWords; Copies the requested byte span from source to destination in four-byte units.
0x800732CC, function start — BattlingCreateParticleEmitterType3; creates a type-3 particle emitter.
0x8007334C, function start — BattlingRenderStrongestHitMarker; Positions the hit marker at the strongest recorded impact and submits it using the active view transform.
0x80073424, function start — BattlingSpawnAttackProjectile; Claims one of eight projectile slots and initializes its origin velocity lifetime damage visuals and optional trail effect.
0x80073644, function start — BattlingUpdateAttackProjectiles; Advances active projectiles and handles expiry terrain contact target proximity movement trails impact effects and nearest-projectile tracking.
0x80073B7C, function start — BattlingResolveModelAttachmentPosition; Resolves an attachment or animated bone position into arena coordinates with the fighter translation applied.
0x80073CA4, function start — BattlingCommitCurrentFrameAttackVolumes; Promotes newly emitted attack volumes to active status and retires every older volume.
0x80073CEC, function start — BattlingInitializeSweptAttackVolume; Preserves the previous endpoints then installs new endpoints and collision metadata for a newly emitted swept attack.
0x80073DE4, function start — BattlingCanAccumulateImpactWithoutFatalDamage; Tests whether an impact-meter addition can be accepted without its overflow damage reaching current health.
0x80073E2C, function start — BattlingAccumulateImpactAndQueueHealthDamage; Adds impact energy and converts overflow above the gauge limit into queued health damage and per-side damage totals.
0x80073F34, function start — BattlingDispatchAnimationEffectEvent; Resolves one or two attachment endpoints and emits the requested point particle trail beam or linked effect.
0x800740E4, function start — BattlingProcessAnimationAttackEvent; Resolves attack endpoints and emits reusable hit volumes or projectiles while charging impact costs and updating attack presentation.
0x80074678, function start — BattlingProcessCrossedAnimationFrameEvents; Scans every crossed animation frame and dispatches attack effect visibility and reset commands before committing the new hit volumes.
0x80074998, function start — BattlingBeginResetModelPartVisibility; Loads the fighter's model-part table and continues at 0x8007499C to rebuild visibility from the active whitelist.
0x8007499C, function start — BattlingResumeResetModelPartVisibilityAfterTableLoad; Resumes with the model-part table already loaded then hides all eligible parts and enables the whitelisted parts plus the optional thirteenth part.
0x80074AB4, function start — BattlingRestoreReplayFrame; Restores a fighter's recorded pose and animation then reapplies part visibility and advances frame events for replay.
0x80074BA4, function start — BattlingRecordReplayFrameAndAdvanceAnimation; Saves the current pose and action state then handles animation changes frame advancement looping visibility and event-frame progression.
0x80075060, function start — BattlingSelectResultCode; Chooses the exported match-result code from the winner side health thresholds accumulated attack totals and opponent health.
0x800751C8, function start — BattlingBoutStateUpdate; detects knockout or draw and advances round state.
0x8007570C, function start — BattlingComputeScaledActorDelta; computes a scaled actor-coordinate difference.
0x80075738, function start — BattlingComputeActorDelta; returns an actor-coordinate difference.
0x80075748, function start — BattlingNoOpCallback1; intentional empty callback.
0x80075750, function start — BattlingTestSegmentCircleIntersection2D; Tests whether a directed horizontal segment crosses a circle within the permitted longitudinal range.
0x80075888, function start — BattlingFindSegmentCircleImpact2D; Tests a directed horizontal segment against a circle and records the first impact coordinates when they intersect.
