# field-overlay
# annotated_functions/total_functions: 396/651
# Total basis: union of Ghidra functions and recovered callbacks/entries.
# image-id: field-overlay
# sha256: 920a3e20ccc5d8aae32225c272066e819c427b566b2274df60b182e1265f04dd
# load-address: 0x8006f000
# identity-source: native_renderer/xg_render_manifest.toml
# source-record-id: field-image
# Semantic sources: Ghidra field_module.exe
# Format: address, typed note

0x8007008C, function start — FieldLZSSDecompress; Field overlay LZSS decompressor.
0x800700B0, function start — FieldFree; releases Field overlay resources.
0x80070340, function start — FieldLoadTIMWithClut; loads a Field TIM and its CLUT.
0x80070594, function start — FieldMatrixInitializeIdentity; builds an identity transform matrix.
0x80070CC8, function start — FieldLoad; Field overlay load helper.
0x80071A64, function start — FieldFadeInitialize; initializes Field fade state.
0x80071A8C, function start — FieldFadeUpdate; advances Field fade state.
0x80071CB4, function start — FieldFadeUpdateAndDraw; advances and renders the Field fade.
0x80071D08, function start — FieldFadeSetParameters; configures Field fade parameters.
0x80071DCC, function start — FieldFadeToWhite; starts a white Field fade.
0x80071E58, function start — FieldFadeToBlack; starts a black Field fade.
0x80071EE8, function start — FieldInitializeControllersAndMouse; initializes Field input devices.
0x80071F64, function start — FieldSetClipDimensions; configures the Field draw clip.
0x80071FB0, function start — FieldInitializeRenderContexts; initializes Field render contexts.
0x80072140, function start — FieldMatrixResetTranslation; clears matrix translation.
0x80072150, function start — FieldComputeSceneMatrices; computes Field scene matrices.
0x8007224C, instruction site — world-to-screen matrix computation complete; returns to the caller.
0x800722F4, function start — FieldMatrixCreateWorldToScreen; creates the Field world-to-screen matrix.
0x80072D74, function start — FieldCameraInterpolationUpdate; advances camera interpolation, depth, and shake.
0x80073228, instruction site — camera interpolation and shake-offset update complete.
0x80073684, function start — FieldRotateEyeAroundTargetBySceneAngle; rotates the camera eye around its target in XZ.
0x80073750, function start — FieldMatrixLookAt; builds a Field look-at matrix.
0x80073930, function start — FieldMathInterpolateAngle; interpolates a Field angle.
0x80073988, function start — FieldMathUpdateAngle; advances a Field angle.
0x80073AE4, call site — invokes the per-frame FieldCameraInterpolationUpdate.
0x80073AEC, instruction site — camera interpolation returned; snapshots offset eye and target vectors.
0x80073B94, call site — builds the look-at matrix on the alternate camera path.
0x80073C3C, call site — builds the normal look-at matrix into the secondary camera matrix.
0x80073C5C, call site — recomputes and installs the Field projection matrix.
0x80073F50, function start — FieldClearAndSwapOTagInternal; internal Field OT clear/swap.
0x80073FE0, function start — FieldClearAndSwapOTag; clears and swaps the Field ordering table.
0x80074038, function start — FieldMatrixCopy; copies a Field matrix.
0x80074078, function start — FieldMatrixCopyTranslation; copies matrix translation.
0x8007409C, function start — FieldMatrixCopyTransform; copies matrix transform state.
0x80074700, function start — FieldPollControllers; polls Field controller input.
0x800748E8, function start — FieldRenderModels; renders the active Field model collection.
0x80075414, call site — activates the physical RenderFieldCharacterSprites producer at 0x800764B4.
0x80075458, function start — FieldAddPrimitives; adds the Field frame primitives.
0x8007554C, function start — FieldPresentationPassA; Field presentation pass ending in DrawOTag.
0x80075694, call site — VSync call to resident 0x8004B54C; returns at 0x8007569C.
0x800758C8, call site — FieldPresentationPassA call to resident DrawOTag.
0x80075910, function start — FieldPresentationPassB; alternate Field presentation pass.
0x800759CC, call site — FieldPresentationPassB call to resident DrawOTag.
0x80075B44, function start — RenderFieldCharacterSprites; canonical Field character-sprite producer.
0x80075E84, instruction site — actor projection complete; begins screen-bounds culling.
0x80075EA4, instruction site — Field actor visibility screen-bias adjustment.
0x80075EA8, instruction site — Field actor visibility range comparison.
0x80075ED4, instruction site — actor visibility resolved; begins shadow and render eligibility checks.
0x800764B4, function start — RenderFieldCharacterSprites runtime-variant physical producer entry.
0x800765DC, instruction site — native Field character actor substitution seam.
0x80076858, instruction site — stores projected Field character SXY0 geometry.
0x8007685C, instruction site — stores projected Field character SXY1 geometry.
0x80076860, instruction site — stores projected Field character SXY2 geometry.
0x800769C8, call site — Field character geometry call to resident RotAverage4.
0x800769D4, instruction site — reads the Field character packet base.
0x800769D8, instruction site — reads a Field character stack source.
0x800769E4, instruction site — reads the Field character depth source.
0x800769E8, instruction site — reads the Field character ordering-table cursor.
0x800769EC, instruction site — computes the Field character ordering-table bucket.
0x800769F8, instruction site — reads the Field character ordering-table head.
0x80076A08, instruction site — writes the Field character packet cursor.
0x80076A0C, instruction site — reloads the Field character ordering-table head.
0x80076A10, instruction site — reads the Field character packet address.
0x80076A24, instruction site — links the Field character packet into the ordering table.
0x80076A74, function start — FieldActorSetAnimationEventFlagCallback; marks its owning actor's animation event flag.
0x800771F8, function start — FieldLoadTIM; loads a Field TIM image.
0x800775C0, function start — FieldInitializeControllers; initializes Field controllers.
0x800775F8, function start — FieldRenderSync; synchronizes Field rendering.
0x80077620, function start — FieldLoadUITextures; loads Field UI textures.
0x8007781C, function start — FieldUpdateDeltaTime; updates Field frame timing.
0x80077C88, function start — FieldPartyAllocateSkinDataBuffers; allocates party skin buffers.
0x80077D2C, function start — FieldPartyFreeSkinDataBuffers; frees party skin buffers.
0x80077E88, function start — FieldMain; main Field overlay scheduler and frame loop.
0x800781BC, call site — canonical Field VSync call; returns at 0x800781C4.
0x8007850C, instruction site — checks asynchronous CD activity before committing a Field transition.
0x80078BC8, function start — FieldMainExitGate; Field main-loop transition gate.
0x80078C5C, function start — FieldApplyVramImageMask; masks and restores a VRAM rectangle.
0x800796FC, function start — FieldSwapRenderContext; swaps the active Field render context.
0x80079784, function start — FieldDrawSolidColorFrame; presents a solid-color Field frame.
0x8007995C, function start — FieldMoveImageAndSync; moves a VRAM image and synchronizes drawing.
0x8007999C, function start — FieldRenderSyncAndFlush; synchronizes and flushes Field rendering.
0x8007A44C, function start — FieldClampPolyFT4UVs; clamps POLY_FT4 texture coordinates.
0x8007A7F4, function start — Field resource initializer; authenticated 592-byte body.
0x8007A9F4, instruction site — resource-initializer output writer within function 0x8007A7F4.
0x8007AA3C, return site — resource-initializer commit and return for function 0x8007A7F4.
0x8007AA44, function start — Field resource initializer; authenticated 296-byte body.
0x8007AB2C, instruction site — resource-initializer output writer within function 0x8007AA44.
0x8007AB64, return site — resource-initializer commit and return for function 0x8007AA44.
0x8007AB6C, function start — FieldRenderQuad; authenticated compass world-space quad renderer.
0x8007AC58, function start — Field compass screen-space renderer.
0x8007AD8C, function start — FieldSetControllerBuffers; assigns Field controller buffers.
0x8007ADA4, function start — FieldSetScaledMouseDeltas; writes mouse deltas using configured speed.
0x8007AE14, function start — FieldSetMouseSpeed; configures Field mouse speed.
0x8007AE2C, function start — FieldSetMousePosition; updates the Field mouse position.
0x8007C068, instruction site — rejects walkmesh traversal and forces an invalid triangle result.
0x8007C12C, instruction site — dispatches from the computed triangle-edge collision mask.
0x8007C284, instruction site — adjacent triangle and material flags have been selected.
0x8007C344, instruction site — tests for an invalid triangle or walkmesh edge.
0x8007C3E4, instruction site — resolves blocking edge endpoints from the collision mask.
0x8007D93C, function start — FieldFadeInitializePrimitives; initializes Field fade packets.
0x8007DA44, function start — FieldFadeDraw; renders Field fade packets.
0x8007DCF8, function start — FieldTextBoxFinalize; finalizes an active Field text-box slot.
0x8007DECC, function start — FieldTextBoxInitialize; initializes a Field text box.
