# image-id: gear-helper-overlay
# annotated_functions/total_functions: 82/82
# Total basis: whole-image AOT range manifest, including authenticated overlapping roots.
# sha256: 14395a9f54c124fed016f07906cc882b2a9256d5ade2d10eef99e10fe9366523
# load-address: 0x801dc000
# identity-source: annotations/overlays/disc1-images.toml
# source-record-id: gear-helper-image
# format: address, note

0x801DC22C, function start — GearHelperInitializeMesh; initializes model mesh state.
0x801DC2D0, function start — GearHelperInitializeSkeleton; initializes model skeleton state.
0x801DC5C0, function start — GearHelperUpdateSkeletonTransforms; propagates parent joint transforms and dirty state.
0x801DC848, function start — GearHelperUpdateSkeletonTransformsWithLocalScale; rebuilds root and dirty child matrices while applying each joint's local scale and canceling inherited parent scale before hierarchy composition.
0x801DCC34, function start — GearHelperNoOpCallback; intentional empty callback.
0x801DCC3C, function start — GearHelperRenderSkeletonParts; composes the supplied transforms with each drawable joint matrix and submits every joint's current model packet to the ordering table.
0x801DCD8C, function start — GearHelperFreeModelSkeleton; frees skeleton nodes and their array.
0x801DCE18, function start — GearHelperFreeModelMesh; frees model mesh state.
0x801DCEC8, function start — GearHelperRenderModel; renders an enabled model's joint packets plus its billboard attachment auxiliary-image and trail primitives using the supplied transforms and ordering table.
0x801DDBF8, function start — GearHelperAdvanceSkeletonAnimationTracks; advances every joint's rotation translation and scale tracks across supported interpolation modes while releasing completed tracks and returning activity status bits.
0x801DEF10, function start — GearHelperApplyAnimationBasePose; copies unmasked animation rotation and translation vectors into joints not protected by active tracks and marks their transforms dirty.
0x801DF0B4, function start — GearHelperBlendSkeletonToAnimationPose; allocates per-joint rotation and translation tracks that interpolate from the current pose to an animation's base pose over the requested duration.
0x801DF52C, function start — GearHelperStopJointAnimationTracks; releases selected rotation translation and scale track slots for one in-range joint according to a channel mask.
0x801DF5F4, function start — GearHelperObjectPoolInitialize; initializes the helper object pool.
0x801DF668, function start — GearHelperObjectPoolFree; frees the helper object pool.
0x801DF6A8, function start — GearHelperObjectPoolReset; resets object-pool allocation state.
0x801DF6F0, function start — GearHelperObjectPoolAllocate; returns the first free 20-byte track record at or after the allocation cursor and advances the cursor to the next free record.
0x801DF7A8, function start — GearHelperObjectPoolRelease; releases one pooled object.
0x801DF7F4, function start — GearHelperBindKeyframeTracksOrApplyPose; in encoded mode treats keyframe +0x0C as the last descriptor index, binds at most min(+0x0C+1, runtime joint count) descriptors without replacing the current pose, and locates streams after the complete serialized descriptor array; in direct-pose mode clears transient tracks and applies pose triplets.
0x801DFAC4, function start — GearHelperStartAnimationTracksFromBasePose; loads encoded initial rotation and translation values into affected joints before installing their animation tracks and marking transforms dirty.
0x801DFE8C, function start — GearHelperStopAllSkeletonAnimationTracks; releases every nonprotected rotation translation and scale track attached to every skeleton joint.
0x801DFF78, function start — GearHelperStopSkeletonAnimationTracksByTag; releases every joint track whose tag byte equals the requested tag.
0x801E0064, function start — GearHelperInitializeModelTrailSegmentPool; allocates the requested number of renderable 0x7C-byte model-trail segment records plus one nonrendered overflow/fallback record and initializes the pool.
0x801E00DC, function start — GearHelperFreeModelTrailSegmentPool; frees the complete model-trail segment allocation and clears its capacity and allocation cursor.
0x801E011C, function start — GearHelperResetModelTrailSegmentPool; marks all renderable and fallback model-trail segment records free and initializes their two textured-quad packet copies.
0x801E0248, function start — GearHelperAllocateModelTrailSegment; returns and initializes the next free renderable segment, or returns the extra nonrendered fallback record when all renderable slots are occupied.
0x801E0354, function start — GearHelperReleaseModelTrailSegment; marks one segment free and rewinds the allocation cursor when its index is earlier.
0x801E0398, function start — GearHelperUpdateAndRenderModelTrailSegments; updates, depth-sorts, submits, and expires active segments while traversing only the renderable records and excluding the fallback record.
0x801E0698, function start — GearHelperInitializeModelTrailEmitter; initializes a trail emitter's attachment mode endpoints bounded history lifetime colors and per-frame RGB fade deltas.
0x801E0844, function start — GearHelperDisableModelTrailEmitter; disables a model trail emitter by setting its active attachment index to minus one.
0x801E0850, function start — GearHelperEvaluateCosineStep; returns the signed-short value of base plus cosine-angle-plus-4096 divided by the supplied divisor.
0x801E08D4, function start — GearHelperEvaluateBoundedLinearRise; returns base plus value divided by divisor when the result is at most 32 and otherwise returns minus one.
0x801E0938, function start — GearHelperEvaluateLinearFall; returns the signed-short value of base minus value divided by the supplied divisor.
0x801E0988, function start — GearHelperEvaluateClampedCountdown; returns the greater of the supplied floor and 32 minus value divided by divisor.
0x801E0A00, function start — GearHelperInitializeAuxImagePlane; activates an auxiliary image plane and conditionally allocates then loads fills or copies its enabled 16-bit pixel channels from VRAM or source data.
0x801E1258, function start — GearHelperAdvanceImageAnimationFrame; advances the frame selector then decodes or blends the new image and copies its overlapping pixels into the linked destination surface.
0x801E165C, function start — GearHelperFreeImageAnimation; uploads pending image pixels when required then frees all buffers owned by an initialized image-animation record.
0x801E1708, function start — GearHelperScaleImageFramePixels; scales every source pixel by the supplied five-bit interpolation factor and writes the resulting image plane.
0x801E17B8, function start — GearHelperBlendImageFramePixels; linearly blends every pixel from a base image toward a target image using the supplied five-bit interpolation factor.
0x801E1880, function start — GearHelperUpdateAttachedLightVectors; resolves each enabled light vector through its bound model joint while preserving unbound vectors in local coordinates.
0x801E1A14, function start — GearHelperInitializeDeformableTriangleMesh; parses serialized deformable-mesh geometry and allocates scaled vertices constraint data triangle packets and optional attachment records.
