# image-id: menu-overlay
# annotated_functions/total_functions: 54/307
# Total basis: correct-base Ghidra function census excluding synthetic GTE helpers.
# sha256: 82f84a24ac1fd1979754e1cc9c861405fb59ce95dd78db00a76f00c8f1bd177d
# load-address: 0x801c5000
# identity-source: native_renderer/xg_render_manifest.toml
# source-record-id: menu-image
# format: address, note

0x801C531C, function start — MenuExecuteSelection; dispatches the selected central-menu action.
0x801C55A0, function start — MainMenuExecute; runs navigation and selection for the seven-entry menu.
0x801C57A4, function start — LoadSaveGameMenuExecute; runs the title load/save menu.
0x801C5F10, function start — DrawMenuPrimaryElements; dispatches the primary menu draw group.
0x801C5FE4, function start — MenuMainLoopShutdown; renders final frames and releases menu resources.
0x801C62A8, function start — MenuOverlayEntry; initializes and dispatches normal or load-game operation.
0x801C6400, function start — SetupMenuModeSpecificElements; initializes mode-specific presentation.
0x801C65F4, function start — ProcessMenuDebugSelector; implements the development submenu selector.
0x801C6AA0, function start — InitMenuGlobals; initializes selection, party availability, and shared resources.
0x801C6D4C, function start — ResetMenuParity; resets double-buffer parity.
0x801C6E0C, function start — InitMenuTextContexts; initializes prerendered text contexts.
0x801C6E68, function start — ComputeMenuBorderGlyphs; resolves the four border font glyphs.
0x801C6F70, function start — InitMenuCursorAndBackgroundPrimitives; builds cursor, background, and draw-mode packets.
0x801C72BC, function start — SetupMenuGlyphPolys; converts one font glyph into double-buffered quads.
0x801C7B0C, function start — SetupMainMenu; initializes globals, text, borders, and presentation.
0x801C7BF4, function start — MenuDraw; performs one complete input, render, and buffer-swap frame.
0x801C7D78, function start — UpdateMenuInput; translates controller state into a menu command.
0x801C7F34, function start — UpdatePlayTimeDigits; decomposes play time into displayed digits.
0x801C80B8, function start — DrawMenuPlayTime; rebuilds enabled play-time glyphs.
0x801C8324, function start — InfoCardAnimationStep; advances one party information-card interpolation.
0x801C8574, function start — PlayMenuSoundEffect; submits a menu sound effect.
0x801C8694, function start — SetupInfoCardAnimation; initializes one party-card transition.
0x801C87C4, function start — CloseMemoryCardEvents; closes four memory-card events inside a critical section.
0x801C8D1C, function start — MakeSaveBlockDisplay; displays memory-card block activity.
0x801C93A8, function start — ScanMemoryCardsAndSaveSlots; refreshes cards, save headers, icons, and slots.
0x801C9984, instruction site — begins the authenticated memory-card slot FT4 XY override.
0x801C9B80, instruction site — finishes and recaptures the overridden memory-card slot FT4.
0x801D0D90, function start — DrawMenuTextGroup34; draws the text group controlled by state offset 0x34.
0x801D0E20, function start — DrawMenuNoOpSevenLoop; retains the original seven-iteration no-op helper.
0x801D0E38, function start — DrawMenuTextGroup14; transforms and submits the text group at offset 0x14.
0x801D0EBC, function start — DrawMenuNoOpFiveLoop; retains the original five-iteration no-op helper.
0x801D0ED4, function start — DrawMenuTextGroup38; draws the text group controlled by offset 0x38.
0x801D0F54, function start — DrawMenuTextGroup40; draws the text group controlled by offset 0x40.
0x801D0FD4, function start — DrawMenuTextFlag4E; draws the optional text element at flag 0x4E.
0x801D1030, function start — DrawCheckingMemoryCardText; submits checking-memory-card text packets.
0x801D10DC, function start — DrawMenuTextGroup54; draws the text group controlled by offset 0x54.
0x801D1160, function start — DrawMenuTextGroup5C; draws the text group controlled by offset 0x5C.
0x801D11F0, function start — DrawMenuTextGroups; dispatches the complete menu text draw set.
0x801D1258, function start — DrawMenuBackground; submits the fullscreen background and draw mode.
0x801D1464, function start — DrawOptionalMenuElement49; draws the optional element at flag 0x49.
0x801D14B0, function start — DrawOptionalMenuElement53; draws the optional element at flag 0x53.
0x801D14FC, function start — DrawOptionalMenuElement48; draws the optional group at flag 0x48.
0x801D1640, function start — DrawOptionalMenuElement4A; draws the optional group at flag 0x4A.
0x801D17C4, function start — DrawOptionalMenuElement4C; draws the optional group at flag 0x4C.
0x801D1914, function start — DrawOptionalMenuElement4D; draws the optional group at flag 0x4D.
0x801D1AAC, function start — DrawOptionalMenuElement50; draws the optional group at flag 0x50.
0x801D1B20, function start — DrawMenuNormalMode; dispatches normal in-game menu visuals.
0x801D1BE8, function start — DrawMenuLoadMode; dispatches reduced load-game visuals.
0x801D1CA0, function start — DrawMenuSpecificElements; selects composition and draws the background.
0x801D1D40, function start — UpdateMenuTransforms; advances transition transforms and installs GTE matrices.
0x801D1E80, function start — BeginMenuTransitionIn; starts the opening transform and sound.
0x801D1EB0, function start — BeginMenuTransitionOut; starts the closing transform and sound.
0x801D9808, function start — ProcessSoundMenu; handles sound-mode navigation and confirmation.
0x801D9F98, function start — ProcessLoadSaveMenu; drives card setup, slot selection, load/save, and cleanup.
0x801DE29C, function start — CheckCurrentDiscNumber; validates or transitions using a disc and field request.
0x801E23CC, function start — OpenStatusMenu; initializes and drives character status and equipment views.
