# image-id: shop-menu-overlay
# annotated_functions/total_functions: 118/118
# Total basis: whole-image AOT range manifest, including authenticated overlapping roots.
# sha256: 7890e14bcabddcf85368de10783ecff8daa166dc5ac254e06db5e27959cab4cf
# load-address: 0x801c5000
# identity-source: annotations/overlays/disc1-images.toml
# source-record-id: shop-menu-image
# format: address, note

0x801C5040, function start — ShopMenuSetFt4Rect; assigns matching XY and UV rectangles.
0x801C50B0, function start — ShopMenuIsCharacterFlagSet; tests a character availability bit.
0x801C50CC, function start — ShopMenuGetCharacterBitMask; returns a character bit mask.
0x801C50E8, function start — ShopMenuParseNumberToString; converts a number to display digits.
0x801C5194, function start — ShopMenuManageResourceState; allocates or frees the primary resource workspace.
0x801C51F8, function start — ShopMenuSetManager; allocates or frees menu-manager state.
0x801C525C, function start — ShopMenuSelectionMenuManager; allocates or frees selection state.
0x801C52C0, function start — ShopMenuManageTextBatchState; allocates or frees text-batch state.
0x801C5324, function start — ShopMenuDressingRoomManager; allocates or frees dressing-room state.
0x801C5388, function start — ShopMenuManageOverlayPacketState; allocates or frees overlay packet state.
0x801C53EC, function start — ShopMenuManageExtendedDisplayState; allocates or frees extended display state.
0x801C5450, function start — ShopMenuShopManager; allocates or frees shop-specific state.
0x801C54B4, function start — ShopMenuLoadResources; loads and decompresses shop resources.
0x801C58F4, function start — ShopMenuInitialize; initializes characters and loads resources.
0x801C5A6C, function start — ShopMenuResetRenderContext; resets double-buffer state.
0x801C5A7C, function start — ShopMenuInitializeStringFt4Pair; initializes both textured quads of a menu string from its texture, palette, color, and translucency attributes.
0x801C5CBC, function start — ShopMenuInitializeMenuStringGroup; renders paired strings into a shared buffer, initializes their primitives, and uploads each completed row to VRAM.
0x801C5E6C, function start — ShopMenuUploadSmallVramImage; allocates and uploads a zeroed 16x1 VRAM image containing an initialized 0x7FFF pixel.
0x801C5EE8, function start — ShopMenuInitializeTextResources; uploads the palette, allocates the shared text buffer, initializes four primary string pairs, and uploads the auxiliary image.
0x801C5F44, function start — ShopMenuInitializeWindowBorders; resolves border texture metadata.
0x801C604C, function start — ShopMenuMovePointerCursor; moves the pointer and highlight panel.
0x801C6430, function start — ShopMenuClearSelectionFlags; clears selection and render flags.
0x801C6460, function start — ShopMenuInitializeShadedQuad; initializes a shaded POLY_G4.
0x801C64DC, function start — ShopMenuInitializeBackgrounds; initializes selection and dimming primitives.
0x801C6828, function start — ShopMenuLoadShopItemsData; loads or frees item definitions and descriptions.
0x801C6A6C, function start — ShopMenuInitializeShopData; decodes inventory and initializes graphics.
0x801C6E90, function start — ShopMenuSetVertices; builds screen-centered quad vertices.
0x801C6EE8, function start — ShopMenuSetWindowBorderPrimitive; configures a border primitive.
0x801C6F30, function start — ShopMenuUpdateScrollBarHandle; allocates or updates scroll-handle geometry.
0x801C70B8, function start — ShopMenuFreeScrollBarHandle; frees scroll-handle state.
0x801C70FC, function start — ShopMenuInitializeArrowCursor; allocates an arrow cursor.
0x801C7178, function start — ShopMenuUpdateArrowCursor; positions and updates an arrow cursor.
0x801C7314, function start — ShopMenuFreeArrowCursor; disables and frees an arrow cursor.
0x801C7370, function start — ShopMenuInitializeWindowGraphics; initializes window graphics.
0x801C768C, function start — ShopMenuInitializeScrollBar; initializes scroll-bar graphics.
0x801C77F0, function start — ShopMenuInitializeWindowBorderCorners; initializes corner graphics.
0x801C7A38, function start — ShopMenuSetWindowBorderTop; configures top-border geometry.
0x801C7D7C, function start — ShopMenuSetWindowBorderBottom; configures bottom-border geometry.
0x801C80C8, function start — ShopMenuSetWindowBorderLeft; configures left-border geometry.
0x801C8410, function start — ShopMenuSetWindowBorderRight; configures right-border geometry.
0x801C875C, function start — ShopMenuSetWindow; assembles and activates a window.
0x801C88E0, function start — ShopMenuFreeWindow; deactivates and frees a window.
0x801C896C, function start — ShopMenuInitializeWindow; allocates or configures a window.
0x801C8AF0, function start — ShopMenuUpdateWindows; advances opening-window dimensions.
0x801C8C3C, function start — ShopMenuRenderPolygons; projects and queues FT4 arrays.
0x801C8D58, function start — ShopMenuRenderString; queues a string's glyph quads.
0x801C8DDC, function start — ShopMenuRenderScrollBarHandle; renders the active scroll handle.
0x801C8E28, function start — ShopMenuRenderSelectionPointer; queues selection draw mode and pointer.
0x801C8EB8, function start — ShopMenuRenderTopWindowBorder; renders the top border.
0x801C908C, function start — ShopMenuRenderBottomWindowBorder; renders the bottom border.
0x801C9260, function start — ShopMenuRenderLeftWindowBorder; renders the left border.
0x801C9434, function start — ShopMenuRenderRightWindowBorder; renders the right border.
0x801C9608, function start — ShopMenuRenderWindowBackground; renders the window background.
0x801C9744, function start — ShopMenuRenderWindowBorderCorners; renders border corners.
0x801C9890, function start — ShopMenuRenderScrollBar; renders scroll-bar track and ends.
0x801C9AB4, function start — ShopMenuRenderWindows; renders all active windows.
0x801C9C2C, function start — ShopMenuRenderPointerCursors; positions and queues pointers.
0x801C9F7C, function start — ShopMenuRenderAuxGroup4; queues enabled auxiliary primitives.
0x801CA00C, function start — ShopMenuRenderAuxGroup8; queues enabled auxiliary primitives.
0x801CA09C, function start — ShopMenuRenderAuxQuads; projects and queues auxiliary quads.
0x801CA214, function start — ShopMenuNoOpCountdown; retains the original no-op countdown.
0x801CA22C, function start — ShopMenuRenderConfirmationText; projects and queues confirmation text.
0x801CA388, function start — ShopMenuRenderBackgroundDim; queues dimming and draw mode.
0x801CA404, function start — ShopMenuRenderAuxiliaryGroups; dispatches auxiliary groups.
